text,label
"Barang rusak karena packingnya kurang baik",0
"Kenapa suaranya masih kecil ya?",1
"Sangat puas! Harga segini sangat sepadan. Penjual responsif. Pesan pagi, siang sudah sampai pakai kurir instan. Rekomendasi!",3
"Pesanan tidak sesuai, minta warna biru diberi warna pink untuk anak laki-laki, sepertinya penjual tidak bisa membaca. Sangat mengecewakan, barangnya juga biasa saja, standar...",0
"Mantap! Bahannya adem. Ukurannya pas. Modelnya bagus. Warnanya cantik. Jahitannya rapi. Tidak tembus pandang.",3
"Paket datang dengan kardus penyok dan robek. Malu kalau untuk kado. Sudah sering terjadi, kenapa tidak ada perbaikan dari Mooimom?",1
"Gantungannya sangat tipis dan mudah patah, baru dipakai sehari sudah rusak",1
"Baru pertama kali masak nasi porang tidak terasa seperti karet, mudah lagi hanya diseduh air panas. Mantap!",3
"Produknya cepat sampai dan aman, terima kasih",3
"Kenapa toko ini memberi ukuran 5 9 tapi dikasih 99, sudah mau mati kali 99 juga. Benar tidak jualan?",1
"Parah, barang rusak retak saat dikomplain malah prosesnya sangat rumit! Tidak akan beli lagi di sini",0
"Komplain karena jamnya sudah disetel tapi masih tidak menyala, jawaban dari admin hanya 'ok'",1
"Respon cepat, barang original terbaik direkomendasikan, packing baik. Semoga sukses selalu",3
"Disuruh tambah bubble wrap malah bubble wrap-nya dipacking sendiri. Tidak mengerti",1
"Kenapa warna yang dipilih kuning malah dikasih warna hijau?",0
"Tidak suka dengan respon yang sangat tidak baik",0
"Beli banyak jenis barang, tapi produk ini tidak dikirim",1
"Baru dipakai sekali langsung sobek... bahannya tipis... pengirimannya lama... chat tidak pernah dibalas... tidak direkomendasikan...",1
"Kertasnya bagus sekali dan sesuai deskripsi",3
"Pelayanan tokonya buruk sekali",0
"Pesan bak mandi dikirim strap, tidak jelas saat ditanya bolak balik malah tidak ada solusi, akhirnya saya beli strap-nya lagi baru dikirim bak, lain kali kalau salah ya akui saja salah",0
"Mudah lepas di dashboard, lemnya tidak kuat",1
"Catnya jelek sekali.. detailnya jelek sekali.. murah sih.. tapi ya begitu.. jelek",0
"Yang satu kuasnya saat diangkat sudah dalam keadaan patah atau lepas.. brush-nya jatuh di dalam.. Mohon dicek kembali sebelum dikirim",1
