text,label
barang asli nya tak seindah yg difoto:(,4
Mic dari awal ga nyala,4
"packing nya bocor,oli kemana mana kecewa.",4
"Dari 4 pesanan yg bs dipake cuma 2, itupun tidak sempurna, kemungkinn pecah di pengiriman karena paking tidak aman/seadanya..",1
"Barangnya bagus pengirimannya cepat, cuma kekurangan agan satu ini yaitu terlalu baik dan ramah, bahkan pengiriman di hari Minggupun dijalankan. Tuhan memberkati, sehat dan sukses selalu. Terima Kasih.",3
"pengiriman lelet, request warna g di ACC, sangat kecewa...",4
Barang (printer) yang di kirim rusak admin online tapi tidak mau membalas chat dan pertanyaan saya untuk claim garansi.,1
"pengiriman lamaaaaaaaaaaaaa, ditanya dulu baru sadar",0
"pengiriman amat sangat cepat dan packingnya juga rapi dan bagus, harganya ok banget dan yang pasti original. ga nyesel belanja disini karena semuanya ?? thank you to the seller",3
kecewa !!!,0
"nipu,ini mah bukan 90 yard wkwkwk kaco",0
Nomor seri terdaftar. Barangnya original ??. Berfungsi dengan baik. Packaging aman ??.,2
Tampak luar ok cuma resletingnya ga bisa dibuka. gerigi resletingnya sudah rusak 1,4
"Respon seller cepat, proses & pengiriman cepat. Model & bahan OK, cuma kualitas jahitannya ?!! silahkan lihat gambar deh, banyak kerutan� di jahitan pundak lengan & kerah. Jadi bingung mau pake bajunya, gk dipake mubazir, dipake ya malu juga. Mohon jadi perhatian bagi seller. Terima kasih.",1
Recomended seller,3
debessss,3
Barang yang dikirim tidak sesuai dengan barang yang diterima,4
l2 r2 trigger nya ampas macam ***,0
maaf cuma bs kasih 3 bintang. saya dpt barang yg penyok dan pelor hilang 1. respon dan pengiriman jg lambat,4
Lama pengiriman.. atc di hari itu juga tpi gak di kirim2. Beberpa hr dlu br di kirim.,0
"bahan dan model bagus, hanya saja size terlalu kecil udah up 1 size masih ngepas .Modelnya kekinian.",2
"Chat tidak di balas, Kuota yang di janjikan 50gb nya tidak masuk, hancur la Parah parah",0
"admin ditanya2 respon cpt dan ramah, barang cpt sampe,sampe dgn rapih.tata cara install lengkap dijelasin,sisanya dipandu.sangat sangat membantu dan baik adminnya,rekomended bgt. next pasti beli2 disini lg. puas bgt",3
"Produk memang sesuai deskripsi penjual. Harga jg terjangkau. Pengiriman pun cepat. Tapi kualitas produknya berbeda dgn original/bawaan spt tingkat presisi antar bagian maupun finishing nya. Agak keras diputar2 utk setting. Bautnya pun yg panjang,padahal original nya yg panjang hanya utk kamera saja,sehingga menjadi pemberat di helm.",1
"HArga terjangkau. Rekomended. warna sesuai. pengiriman cepat cm 2hari sampe fast respon dr seller, kondisi barang utuh bagus warna nya cantikk banget kurirnya jg baik.. nelp smpe 4x mastiin alamatnya... tq seller fotonya gada.. adanya video. jdi aku ss dr video..",3
payahhh.. packing asal cm plastik dustnya manaaa?,0
"Selalu bagus produknya, pembelian ke 2 Mantapp min, smoga laris",3
saya tidak menerima produk sama sekali dari kurir dan kurir tidak menelfon saya kalo barang sudah diantarkan dan dititipkan di siapa karena saya belum menerima paket saya saya mengajukan komplain,1
"bukunya original, bagus tidak ada cacat. Sayangnya saja respon dari penjual lama sekali, bahkan tdk di respon.",4
Respon penjual sangat jelek ditanyain hari ni besok baru balas,0
ternyata barangnya kw kirain beneran promo,1
barang sudah diterima dan berfungsi dengan baik. terima kasih,2
Respon jelek,4
"respon cepat, kiriman cepat, barang sesuai, recommended seller",3
"Seller ramah, sabar jawab semua pertanyaan, barang sampai tepat waktu, mesin sudah dicoba & dpt bekerja dgn baik. Semoga awet, thanks",2
Sesuai Deskripsi. Produk Berfungsi Dengan Baik. Packing aman ??. Harga Bersahabat ??.,3
"Maaf ya, untuk produk yg ini saya kasih bintang 1 karena begitu semprotan pertama sprayer nya langsung tdk bs dipake.. Sudah coba diperbaiki ya ttp tdk bisa.. Seperti nya kahf perlu ganti supplier botol deh..",4
barang yang dikirim tidak sesuai walaupun tidak ada seharusnya 2 warna jangan satu warna,1
"kemasan ok, aman bgt. isi sangat banyak. produknya nyaman dipakai",2
tidak ada talinya??,4
"Pesan 4 box yang disegel plastik hanya 1 buah, yang 3 lain tidak ada segel. Ini apa maksudnya ya kenapa dibedakan seperti ini? Bagaimana higenitas masker ini?",1
box nya gak di rakit,4
Mantap sangat bermanfaat,2
saya nyesel pake yg same day.. rugi dikirimnya lama,1
"Berat barang di deskripsi 4,5kg. Padahal berat asli barang dari kurir saat diterima cuma 1kg. Jadi ongkir sangat mahal dari kenyataan dan harus mengajukan komplain dll untuk bisa dapat refund ongkir. Merepotkan.",0
kaleng penyok :(,4
dengan harga segitu lumayan bagus suka??,3
Ada beberapa kalimat yang kosong. Saya cukup kecewa dan hal itu sangat menggangu saya ketika membaca.,4
"jahitan tidak rapih, Ada 2 jahitan sambungan depan Dan samping",4
saya nyesel pake yg same day.. rugi dikirimnya lama,1
"So far kualitas dan bentuk pellet paling bagus dari smua toko yg pernah saya beli. Packing oke dan pengiriman juga cepat, recommended lah pokoknya ????",3
jelek,0
dipaksa beli. setelah checkout hati2 saja sama toko ini.,1
"Kualitas Kurang bagus, kalau di pegang masih masih terasa banget seperti stiker dan benar setelah di tes gampang terkelupas, Not Recomended, Kualitas begini banyak yg lebih murah",4
barang tidak sesuai,4
packing sama sekali gak ada dus+bubble...,1
"Barang sdh diterima sesuai deskripsi dan pengiriman cepat, thx",2
"Bahan bagus, kain bisa melebar dan elastis",2
"Saya sudah langganan beli Transpulmin Baby di toko ini (Menarini Health & Beauty) dan juga produk lainnya. Respon toko cepat dan Transpulmin Baby ini sangat cocok dgn kulit bayi. Cepat meredakan flu & batuk pada bayi. Menngunakan bahan alami, melembabkan kulit bayi, aman buat kulit bayi, tanpa bahan pengawet, dan tidak memicu alergi. Pokoknya mantul deh.. ??????",3
mengecewakan,4
ikan bagus dan sehat. mantaaaaap,3
"Ngirim barang gak sesuai pesanan, ngeselinnn !!!!!!",0
pengiriman cepat buku dalam kondisi baik,2
Pesan 3 yang sampai 2. Semoga berkah deh yg curangin,0
"thx Gan,barang sampai dengan selamat",2
"pesanan sesuai deskripsi,pengiriman cepat",2
terimakasih barangnya bagus banget,3
"Barang original, pengemasangan sangat baik dan sangat cepat, seller sangat fast respon",3
