text,label
barang asli nya tak seindah yang difoto,4
mic dari awal enggak nyala,4
"packing nya bocor,oli kemana mana kecewa.",4
"dari 4 pesanan yang bisa dipakai cuma 2, itupun tidak sempurna, kemungkinn pecah di pengiriman karena paking tidak aman/seadanya..",1
"barangnya bagus pengirimannya cepat, cuma kekurangan agan satu ini yaitu terlalu baik dan ramah, bahkan pengiriman di hari minggupun dijalankan. tuhan memberkati, sehat dan sukses selalu. terima kasih.",3
"pengiriman lelet, request warna enggak di acc, sangat kecewa...",4
barang (printer yang di kirim rusak admin online tapi tidak mau membalas chat dan pertanyaan saya untuk claim garansi.,1
"pengiriman lamaaaaaaaaaaaaa, ditanya dulu baru sadar",0
"pengiriman amat sangat cepat dan packingnya juga rapi dan bagus, harganya ok banget dan yang pasti original. enggak menyesal belanja disini karena semuanya ?? thank you tapi the seller",3
kecewa !!!,0
"nipu,ini mah bukan 90 yard wkwkwk kaco",0
nomor seri terdaftar. barangnya original ??. berfungsi dengan baik. packaging aman ??.,2
tampak luar ok cuma resletingnya enggak bisa dibuka. gerigi resletingnya sudah rusak 1,4
"respon seller cepat, proses & pengiriman cepat. model & bahan ok, cuma kualitas jahitannya ?!! silakan lihat gambar deh, banyak kerutan di jahitan pundak lengan & kerah. jadi bingung mau pakai bajunya, enggak dipakai mubazir, dipakai ya malu juga. mohon jadi perhatian bagi seller. terima kasih.",1
recomended seller,3
debessss,3
barang yang dikirim tidak sesuai dengan barang yang diterima,4
l2 r2 trigger nya ampas macam ***,0
maaf cuma bisa kasih 3 bintang. saya dapat barang yang penyok dan pelor hilang 1. respon dan pengiriman juga lambat,4
lama pengiriman.. atc di hari itu juga tapi enggak di kirim2. beberpa hari dulu baru di kirim.,0
"bahan dan model bagus, hanya saja size terlalu kecil sudah up 1 size masih ngepas .modelnya kekinian.",2
"chat tidak di balas, kuota yang di janjikan 50gb nya tidak masuk, hancur lah parah parah",0
"admin ditanya2 respon cepat dan ramah, barang cepat sampe,sampe dengan rapih.tata cara install lengkap dijelasin,sisanya dipandu.sangat sangat membantu dan baik adminnya,rekomended bgt. next pasti beli2 disini lg. puas banget",3
"produk memang sesuai deskripsi penjual. harga juga terjangkau. pengiriman pun cepat. tapi kualitas produknya berbeda dengan original/bawaan seperti tingkat presisi antar bagian maupun finishing nya. agak keras diputar2 untuk setting. bautnya pun yang panjang,padahal original nya yang panjang hanya untuk kamera saja,sehingga menjadi pemberat di helm.",1
"harga terjangkau. rekomended. warna sesuai. pengiriman cepat cuma 2hari sampai fast respon dari seller, kondisi barang utuh bagus warna nya cantik banget kurirnya juga baik.. nelp sampai 4x mastiin alamatnya... tq seller fotonya gada.. adanya video. jadi aku ss dari video..",3
payahhh.. packing asal cuma plastik dustnya manaaa?,0
"selalu bagus produknya, pembelian ke 2 mantap min, semoga laris",3
saya tidak menerima produk sama sekali dari kurir dan kurir tidak menelfon saya kalo barang sudah diantarkan dan dititipkan di siapa karena saya belum menerima paket saya saya mengajukan komplain,1
"bukunya original, bagus tidak ada cacat. sayangnya saja respon dari penjual lama sekali, bahkan tidak di respon.",4
respon penjual sangat jelek ditanyain hari nih besok baru balas,0
ternyata barangnya kau mengira benaran promo,1
barang sudah diterima dan berfungsi dengan baik. terima kasih,2
respon jelek,4
"respon cepat, kiriman cepat, barang sesuai, recommended seller",3
"seller ramah, sabar jawab semua pertanyaan, barang sampai tepat waktu, mesin sudah dicoba & dapat bekerja dengan baik. semoga awet, thanks",2
sesuai deskripsi. produk berfungsi dengan baik. packing aman ??. harga bersahabat ??.,3
"maaf ya, untuk produk yang ini saya kasih bintang 1 karena begitu semprotan pertama sprayer nya langsung tidak bisa dipake.. sudah coba diperbaiki ya tetap tidak bisa.. seperti nya kahf perlu ganti supplier botol deh..",4
barang yang dikirim tidak sesuai walaupun tidak ada seharusnya 2 warna jangan satu warna,1
"kemasan ok, aman bgt. isi sangat banyak. produknya nyaman dipakai",2
tidak ada talinya??,4
"pesan 4 box yang disegel plastik hanya 1 buah, yang 3 lain tidak ada segel. ini apa maksudnya ya kenapa dibedakan seperti ini? bagaimana higenitas masker ini?",1
box nya enggak di rakit,4
mantap sangat bermanfaat,2
saya menyesal pakai yang same day.. rugi dikirimnya lama,1
"berat barang di deskripsi 4,5kg. padahal berat asli barang dari kurir saat diterima cuma 1kg. jadi ongkir sangat mahal dari kenyataan dan harus mengajukan komplain dll untuk bisa dapat refund ongkir. merepotkan.",0
kaleng penyok,4
dengan harga segitu lumayan bagus suka??,3
ada beberapa kalimat yang kosong. saya cukup kecewa dan hal itu sangat menggangu saya ketika membaca.,4
